TIME CODE,SOURCE LANGUAGE,TRANSLATION,Comment Local team,,,,,,,,,,,,
00:00-00:14,Crew speaking,Crew speaking,,,,,,,,,,,,,
00:15-00:17,Tamam sırayla gitmiycem madem soruları biliyorsunuz.,"Okay, I will not ask the questions in order since you already know them.",,,,,,,,,,,,,
00:18-00:19,Ben bilmiyorum soruları.,I don’t know the questions.,,,,,,,,,,,,,
00:19-00:27,Ama soru oldu_unu biliyorsunuz. _öyle tamam daha sohbet gibi gidelim? _öyle (…) size en sık (…) hangi rahatsızlıklarla geliyorlar hastalarınız?,"But you know that there are questions.  Well, shall we do it in a more conversational way?  Well (…) What is the most frequent (…) discomfort of your patients when they come to you?",,,,,,,,,,,,,
00:28-01:04,"(…) Son yıllarda di_ hekimine gelen hastaların büyük bir bölümü bizim dentin hassasiyeti olarak adlandırdı_ımız, halk arasında di_ hassasiyeti olarak bilinen olguyla geliyorlar. (…) Bunun ba_lıca sebebi, artık son dönemdeki endüstriyel yemek (…) yeme alı_kanlıkları sebebiyle (…) tüketti_imiz gıdaların birço_unda koruyucu maddelerin bulunması. Bu asitli koruyucu maddeler özellikle di_ler üzerinde olumsuz etkilere yol açıyorlar ve bunun neticesinde böyle _im_ek çakar gibi ani a_rılara sebep (…) olan bir durum ortaya çıkıyor.","(…) In the recent years, majority of the patients come to a dentist with what we call dentine sensitivity which is also called tooth sensitivity in the colloquial language.  (…) The main reason for this is the existence of some preservative substances in many of the (…)  food we consume (…) due to the recent industrial eating habits.  These acidic preservative substances especially create material adverse effects on the teeth and as a result of this, situations causing pains (…) resembling to streak of lightning occur.",," situations causing pains (…) resembling to streak of lightning occur.""	",,,,,,,,,,,
01:06-01:11,Hissettim anlattı_ınızdan. Peki (…) o zaman özetliycek olursak hani (…),"I can feel it from you have just said.  Alright (…) if we are to summarize it, so (…)",,,,,,,,,,,,,
01:12-01:29,Crew speaking,Crew speaking,,,,,,,,,,,,,
01:30-01:31,"Bir daha ba_layalım, ilk soruyu bir daha alalım.","Let’s start once more, let’s have the first question again.",,,,,,,,,,,,,
01:31-01:32,Tamam.,Okay.,,,,,,,,,,,,,
01:33-01:39,Crew speaking,Crew speaking,,,,,,,,,,,,,
01:40-01:52,"Daha kısa böyle, daha net bir _ekilde özetleyerek (…) son zamanlarda, daha do_rusu size gelen hastaların (…) rahatsızlık olarak nitelendirdikleri _eyler arasında en çok ne göze batıyor? Çok güzel bir cümleydi.","Much shorter, like, summarizing it much clearly (…), recently, to be more precise, what stands out among the things patients coming to you describe as a discomforts?  It was a beautiful sentence.",, summarizing it much clearly (…), recently, to be more precise," what stands out among the things patients coming to you describe as a discomforts?  It was a beautiful sentence.""	",,,,,,,,
01:53-02:19,"Hastalarımızın di_ hekime gelme sebeplerinin ba_lıcası dentin hassasiyeti olarak adlandırdı_ımız, halk arasında di_ hassasiyeti ol..olarak bilinen durum. (…) Bu daha ziyade tüketti_imiz gıdalarda bulunan koruyuculardan kaynaklanıyor. (…) Ve (…) asitlerin di_ üzerinde yaptı_ı bu olumsuz etkiler sebebiyle çok ani _im_ek çakmasına benzeyen a_rılar olu_arak di_ler hassas hale geliyorlar.","The main reason for our patients coming to a dentist is a situation what we call dentine sensitivity which is also called tooth sensitivity in the colloquial language.  (…) This is mostly due to the preservative substances existing in the food we consume.  (…) And (…) because of the adverse effects created on the teeth by the acids, pains (…) resembling to streak of lightning occur and the teeth become sensitive.",,,,,,,,,,,,,
02:19-02:27,Ben size bölücem. Siz bana bakın kameraya bakmayın. Sanırım gözünüz oraya takılıyor de_il mi? Sadece bana.,"I’ll interrupt you.  Please look at me, not to the camera.  I believe, you can’t help yourself looking at there, can you?  Only to me.",,,,,,,,,,,,,
02:22-02:27,"Ha öyle mi? Tamam. Ha evet, tamam tamam. Kamerayı unutuyorum hep sizde. Tama  anla_tık.","Ah, is that so?  Okay. Ah yes, okay, okay.  I’ll forget about the camera, always to you.  Okay, deal.",, okay.  I’ll forget about the camera, always to you.  Okay," deal.""	",,,,,,,,,
02:28-02:31,"Peki bu di_ hassasiyeti bir hastalık mıdır, rahatsızlık mıdır, nedir?","Well, is this tooth sensitivity an illness, a discomfort, what is it?",, a discomfort," what is it?""	",,,,,,,,,,
02:32-02:48,"Di_ hassasiyeti aslında bir hastalık olarak adlandırabiliriz. Bir sendrom. Ve tedavisi var. (…) Ne yazık ki halkımızın büyük ço_unlu_u bunun tedavi edilebilece_inden haberdar de_il. Aslında güzel bir ev bakımı ile, uygun bir di_ macunu seçimiyle di_ hassasiyetinin önüne geçilebilir.","We can actually call tooth sensitivity an illness.  It is a syndrome.  And it is curable.  (…) Unfortunately, majority of our people do not know that it is curable.  As a matter of fact, tooth sensitivity can be prevented with a good home care and a suitable toothpaste.",,,,,,,,,,,,,
02:49-02:51,Peki o zaman di_ onarılabilen bir _ey mi?,"Well, then is tooth something reparable?",,,,,,,,,,,,,
02:52-03:11,Tabi. (…) Di_..ler üzerindeki asit gibi kimyasalların yarattı_ı etkilerle di_ üzerindeki gözeneklerin açılmasıyla olu_an dentin hassasiyetini gidermek için bu gözenekleri tıkayabilen bir di_ macunu kullanır isek soruna çözüm getirmi_ oluruz. Ve bu (…) açı_a çıkan porları tıkamı_ oluruz.,"Of course.  (…) We would be solving the problem by using a toothpaste that can plug the pores which cause dentine sensitivity that is formed by the expansiveness of these pores located on the tooth due to the effects created by the chemicals such as acids.  And, (…) we would plug these exposed pores.",,,,,,,,,,,,,
03:12-03:16,Hmm. O zaman aslında di_ hassasiyeti hani özetlersek onarılabilen bir _ey.,"Hımm. Then, actually, the tooth sensitivity, well, if we summarize it, is something reparable.",, if we summarize it," is something reparable.""	",,,,,,,,,,
03:17-03:53,"Di_ hassasiyeti kesinlikle onarılabilen bir durumdur. Di_ hassasiyetine sebep olan etkenler daha ziyade asitli gıdalardır. Ve bunlar di_ler üzerindeki porları, delikleri (…) a_ındırarak açı_a çıkmalarına yol açarlar. Di_lerin üzerindeki gözenekler açık hale geldi_i zaman her bir gözenek içersinde bulunan hücreler hassas duruma geçerler ve bu di_ hassasiyeti adını verdi_imiz durumu olu_turuyor. E_er bu gözenekleri tıkayabilir isek (…) dolayısıyla di_ hassasiyetinin önüne geçmi_ oluyoruz. Yani onarabiliyoruz durumu. Bunu sa_layan, formülasyonu olan bir özel di_ macunu kullanır isek kesinlikle soruna çözüm buluruz.","Tooth sensitivity is a situation which is absolutely reparable.  The factors causing the tooth sensitivity are mostly acidic food.  And, these cause the pores, the holes (…) located on the tooth to be worn away and exposed.  When the pores located on the tooth are exposed, the cells in each pore become sensitive and this creates a situation what we call tooth sensitivity.  If, we can plug these pores, (…) we can therefore avoid the tooth sensitivity.  Meaning, we can repair this situation.  If we use a toothpaste that enables this, has the proper formulation, we would certainly find a solution to the problem.",, the holes (…) located on the tooth to be worn away and exposed.  When the pores located on the tooth are exposed, the cells in each pore become sensitive and this creates a situation what we call tooth sensitivity.  If, we can plug these pores, (…) we can therefore avoid the tooth sensitivity.  Meaning, we can repair this situation.  If we use a toothpaste that enables this, has the proper formulation," we would certainly find a solution to the problem.""	",,,,,
